500189,NDL Ventures Limited,NDLVENTURE,INE353A01023
500191,HMT Limited,HMT,INE262A01018
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,INE962B01011
500193,HLV LIMITED,HLVLTD,INE102A01024
500199,IG Petrochemicals Ltd,IGPL,INE204A01010
500201,India Glycols Ltd,INDIAGLYCO,INE560A01015
500202,India Lease Devl. Ltd.,INDLEASE,INE333C01013
500206,Margo Finance Limited,MARGOFIN,INE680B01019
500207,Indo Rama Synthetics (India) Ltd.,INDORAMA,INE156A01020
500209,Infosys Ltd,INFY,INE009A01021
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,INE177A01018
500213,International Travel House Ltd,ITHL,INE262B01016
500214,Ion Exchange (India) Ltd,IONEXCHANG,INE570A01022
500215,Agro Tech Foods Ltd,ATFL,INE209A01019
500219,Jain Irrigation Systems Ltd.,JISLJALEQS,INE175A01038
500220,Jasch Industries Ltd.,JASCH,INE711C01028
500223,JCT Ltd,JCTLTD,INE945A01026
500227,Jindal Poly Films Ltd.,JINDALPOLY,INE197D01010
500228,JSW Steel Limited,JSWSTEEL,INE019A01038
500231,Umang Dairies Limited,UMANGDAIRY,INE864B01027
500233,Kajaria Ceramics Ltd,KAJARIACER,INE217B01036
500234,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,INE437B01014
500235,Kalyani Steels Ltd,KSL,INE907A01026
500236,Kanel Industries Limited,KANELIND,INE252C01015
500238,Whirlpool of India Ltd,WHIRLPOOL,INE716A01013
500239,K.G.Denim Ltd,KGDENIM,INE104A01012
500240,Kinetic Engineering Ltd.,KINETICENG,INE266B01017
500241,Kirloskar Brothers Ltd.,KIRLOSBROS,INE732A01036
500243,Kirloskar Industries Ltd,KIRLOSIND,INE250A01039
500245,Kirloskar Ferrous Industries Ltd.,KIRLFER,INE884B01025
500246,Envair Electrodyne Ltd.,ENVAIREL,INE601C01013
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,INE237A01028
500248,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,INE073A01019
500249,KSB LIMITED,KSB,INE999A01015
500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,INE337A01034
500251,Trent Ltd [Lakme Ltd],TRENT,INE849A01020
500252,Lakshmi Machine Works Ltd.,LAXMIMACH,INE269B01029
500253,Lic Housing Finance Ltd.,LICHSGFIN,INE115A01026
500257,Lupin Ltd,LUPIN,INE326A01037
500259,Lyka Labs Ltd.,LYKALABS,INE933A01014
500260,The Ramco Cements Limited,RAMCOCEM,INE331A01037
500262,HYBRID FINANCIAL SERVICES LIMITED,HYBRIDFIN,INE965B01022
500264,Mafatlal Industries Ltd.,MAFATIND,INE270B01035
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,INE271B01025
500266,Maharashtra Scooters Ltd.,MAHSCOOTER,INE288A01013
500267,Majestic Auto Ltd.,MAJESAUT,INE201B01022
500268,Manali Petrochemicals Ltd.,MANALIPETC,INE201A01024
500270,Baroda Rayon Corpn. Ltd.,BARODARY,INE461A01024
500271,Max Financial Services Limited,MFSL,INE180A01020
500277,Mid India Industries Limited,MIDINDIA,INE401C01018
500279,Mirc Electronics Ltd,MIRCELECTR,INE831A01028
500280,Century Enka Ltd.,CENTENKA,INE485A01015
500284,Lords Chloro Alkali Ltd,LORDSCHLO,INE846D01012
500285,SpiceJet Limited,SPICEJET,INE285B01017
500288,Morepen Laboratories Ltd.,MOREPENLAB,INE083A01026
500290,M.R.F. Ltd.,MRF,INE883A01011
500292,HeidelbergCement  India Limited,HEIDELBERG,INE578A01017
500294,NCC Limited,NCC,INE868B01028
500295,Vedanta Limited,VEDL,INE205A01025
500296,Nahar Spinning Mills Ltd.,NAHARSPING,INE290A01027
500298,Naperol Investments Limited,NAPEROL,INE585A01020
500300,Grasim Industries Ltd,GRASIM,INE047A01021
500302,Piramal Enterprises Limited,PEL,INE140A01024
500304,NIIT Ltd.,NIITLTD,INE161A01038
500306,Jaykay Enterprises Limited,JAYKAY,INE903A01025
500307,Nirlon Limited,NIRLON,INE910A01012
500312,Oil And Natural Gas Corporation Ltd,ONGC,INE213A01029
500313,Oil Country Tubular Ltd.,OILCOUNTUB,INE591A01010
500314,Oriental Hotels Ltd.,ORIENTHOT,INE750A01020
500317,Oswal Agro Mills Ltd.,OSWALAGRO,INE142A01012
500319,Indian Sucrose Ltd.,INDSUCR,INE557C01017
500322,Panyam Cements & Mineral Inds. Ltd.,PANCM,INE167E01037
500325,Reliance Industries Ltd,RELIANCE,INE002A01018
500327,Pil Italica Lifestyle Limited,PILITA,INE600A01035
500330,Raymond Limited,RAYMOND,INE301A01014
500331,Pidilite Industries Ltd.,PIDILITIND,INE318A01026
500333,Pix Transmissions Ltd.,PIXTRANS,INE751B01018
500335,Birla Corporation Ltd.,BIRLACORPN,INE340A01012
500336,Surya Roshni Ltd.,SURYAROSNI,INE335A01020
500337,Prime Securities Ltd.,PRIMESECU,INE032B01021
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,INE010A01011
500339,Rain Industries Limited,RAIN,INE855B01025
