020123,B ,Q,31.65,33.55,31.65,32.25,32.25,32.00,172,20581,674705.00,
030123,B ,Q,32.15,32.75,32.00,32.00,32.00,32.25,154,24919,803180.00,
040123,B ,Q,32.05,33.35,31.10,31.55,31.55,32.00,409,44516,1436622.00,
050123,B ,Q,31.75,32.20,31.20,31.40,31.40,31.55,257,15963,507926.00,
060123,B ,Q,31.90,32.75,31.75,31.90,31.80,31.40,173,8866,287319.00,
090123,B ,Q,32.05,32.60,31.65,32.20,32.20,31.90,121,4705,151091.00,
100123,B ,Q,32.10,32.70,31.80,32.05,32.05,32.20,335,26559,856074.00,
110123,B ,Q,32.15,33.55,32.05,33.25,33.40,32.05,514,64005,2109982.00,
120123,B ,Q,33.70,33.75,32.55,33.50,32.55,33.25,411,27356,913019.00,
130123,B ,Q,33.65,33.85,32.85,33.10,33.10,33.50,208,10776,358964.00,
160123,B ,Q,33.10,33.45,32.20,32.45,32.20,33.10,274,30607,999434.00,
170123,B ,Q,32.45,34.55,32.25,33.10,32.65,32.45,708,27970,941168.00,
180123,B ,Q,33.00,33.50,32.30,33.15,33.00,33.10,262,16127,531631.00,
190123,B ,Q,32.95,33.60,32.50,32.90,32.85,33.15,292,44152,1461317.00,
200123,B ,Q,32.40,33.00,31.55,31.90,31.55,32.90,316,37757,1215314.00,
230123,B ,Q,32.25,32.90,30.75,31.00,31.00,31.90,228,18165,574204.00,
240123,B ,Q,31.25,31.90,31.05,31.15,31.25,31.00,383,46745,1457115.00,
250123,B ,Q,30.90,31.20,30.20,30.75,30.95,31.15,233,23599,719418.00,
270123,B ,Q,30.80,30.80,28.90,29.80,29.90,30.75,249,25324,748010.00,
300123,B ,Q,30.05,30.65,28.85,29.20,29.05,29.80,134,3335,97920.00,
310123,B ,Q,29.15,29.90,28.85,29.40,29.65,29.20,247,17459,511196.00,
010223,B ,Q,29.65,30.60,28.20,28.90,28.90,29.40,535,50506,1490376.00,
020223,B ,Q,28.50,30.45,28.05,29.45,29.50,28.90,391,40979,1211141.00,
030223,B ,Q,30.00,30.40,28.50,29.95,30.40,29.45,223,11664,340404.00,
060223,B ,Q,30.25,30.60,29.45,30.15,30.60,29.95,196,9449,283941.00,
070223,B ,Q,30.50,30.90,30.00,30.25,30.20,30.15,169,7719,234279.00,
080223,B ,Q,30.25,30.25,29.50,29.85,29.70,30.25,193,15145,452327.00,
090223,B ,Q,30.10,32.95,30.10,32.35,32.25,29.85,574,67592,2138186.00,
100223,B ,Q,32.05,33.45,31.45,33.05,33.05,32.35,484,52535,1717696.00,
130223,B ,Q,32.85,32.85,29.80,30.00,29.90,33.05,583,55041,1688314.00,
140223,B ,Q,29.80,30.55,29.40,29.85,29.80,30.00,328,32400,972239.00,
150223,B ,Q,29.60,30.25,29.45,30.10,30.10,29.85,199,17806,530344.00,
160223,B ,Q,30.40,30.40,29.70,29.80,29.80,30.10,182,4489,134267.00,
170223,B ,Q,29.60,30.20,29.00,29.35,29.35,29.80,186,16858,492941.00,
200223,B ,Q,28.50,30.00,28.50,29.25,29.20,29.35,206,16347,479785.00,
210223,B ,Q,28.95,29.65,28.80,29.05,29.05,29.25,290,33140,963359.00,
220223,B ,Q,29.20,29.45,28.80,29.10,28.90,29.05,107,2475,71846.00,
230223,B ,Q,29.50,29.90,28.75,29.40,29.20,29.10,249,14868,438143.00,
240223,B ,Q,29.45,29.50,28.60,29.00,29.05,29.40,286,35948,1044148.00,
270223,B ,Q,28.95,29.35,27.30,28.35,28.15,29.00,243,25657,727473.00,
280223,B ,Q,28.65,28.65,27.80,28.00,28.20,28.35,159,3073,86483.00,
010323,B ,Q,28.37,28.58,28.10,28.55,28.35,28.00,92,2571,72855.00,
020323,B ,Q,28.73,28.73,27.95,28.48,28.49,28.55,167,17508,491071.00,
030323,B ,Q,28.40,28.78,28.15,28.37,28.17,28.48,770,18673,529099.00,
060323,B ,Q,28.66,29.50,27.88,28.40,28.13,28.37,158,9257,264788.00,
080323,B ,Q,28.35,28.95,28.20,28.37,28.37,28.40,55,6856,195731.00,
090323,B ,Q,28.78,29.30,28.57,29.02,29.15,28.37,61,15658,451051.00,
100323,B ,Q,28.63,28.80,27.95,28.38,28.27,29.02,867,23193,657644.00,
130323,B ,Q,28.73,28.73,27.60,27.79,27.63,28.38,688,23117,647508.00,
140323,B ,Q,27.79,28.60,27.40,27.97,28.00,27.79,839,91047,2553912.00,
